Processes: 388 total, 4 running, 384 sleeping, 1497 threads 
2019/01/17 15:08:14
Load Avg: 2.87, 2.74, 2.66 
CPU usage: 42.14% user, 19.28% sys, 38.57% idle 
SharedLibs: 250M resident, 64M data, 69M linkedit.
MemRegions: 91607 total, 4912M resident, 202M private, 1082M shared.
PhysMem: 10G used (1556M wired), 1596M unused.
VM: 2565G vsize, 1113M framework vsize, 122878(0) swapins, 207342(0) swapouts.
Networks: packets: 4415501/4137M in, 2541678/316M out.
Disks: 3008177/501G read, 5218720/493G written.

PID    COMMAND          %CPU TIME     #TH   #WQ #PORTS MEM    PURG   CMPRS  PGRP  PPID  STATE    BOOSTS       %CPU_ME %CPU_OTHRS UID        FAULTS   COW     MSGSENT    MSGRECV   SYSBSD     SYSMACH    CSW        PAGEINS IDLEW    POWER INSTRS CYCLES USER               #MREGS RPRVT VPRVT VSIZE KPRVT KSHRD
7939   softwareupdate_d 0.0  00:00.24 2     1   56+    784K+  0B     2276K+ 7939  1     sleeping  0[0]        0.00000 0.00000    200        5197+    198+    2814+      4828+     27526+     11572+     5514+      12+     26       0.0   0      0      _softwareupdate    N/A    N/A   N/A   N/A   N/A   N/A  
7853   com.apple.iTunes 0.0  00:01.26 2     2   52+    1120K+ 0B     1076K+ 7853  1     sleeping  0[0]        0.00000 0.00000    2023764136 13335+   199+    1187+      14880+    82570+     15727+     30279+     47+     506      0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
7820   media-indexer    0.0  00:00.26 2     1   62+    1120K+ 0B     1000K+ 7820  1     sleeping *0[5+]       0.00000 0.00000    2023764136 6508+    176+    2722+      4793+     15983+     11559+     5819+      124+    22       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
7815   EscrowSecurityAl 0.0  00:00.19 2     1   52+    512K+  0B     800K+  7815  1     sleeping  0[0]        0.00000 0.00000    2023764136 7168+    174+    2522+      4714+     16205+     11373+     5312+      13+     17       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
7814   IMAutomaticHisto 0.0  00:00.40 2     2   77+    1200K+ 0B     960K+  7814  1     sleeping  0[0]        0.00000 0.00000    2023764136 9870+    203+    4421+      6404+     32892+     12722+     11071+     33+     175      0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
7812   diskspaced       0.0  00:00.31 2     2   53+    1500K+ 0B     20K+   7812  1     sleeping *0[1+]       0.00000 0.00000    2023764136 4643+    214+    1373+      7632+     24971+     8690+      13251+     1+      54       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
7807   periodic-wrapper 0.0  00:00.01 2     2   26+    392K+  0B     0B     7807  1     sleeping *0[1+]       0.00000 0.00000    0          559+     92+     131+       61+       510+       312+       179+       0       1        0.0   0      0      root               N/A    N/A   N/A   N/A   N/A   N/A  
5791   contactsdonation 0.0  00:01.32 2     1   88+    2692K+ 0B     2276K+ 5791  1     sleeping *0[8+]       0.00000 0.00000    2023764136 16515+   337+    4949+      6473+     45738+     16991+     10511+     102+    87       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
5684   com.apple.appkit 0.0  00:07.55 3     1   272+   16M+   32K+   9080K+ 5684  1     sleeping *0[2678+]    0.00000 0.00000    2023764136 39025+   493+    79798+     24773+    160302+    239101+    139563+    71+     2987     0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
5428   Pages            0.0  02:29.41 4     2   618+   81M+   0B     79M+   5428  1     sleeping *0[2653+]    0.00000 0.00000    2023764136 576798+  6283+   728997+    251845+   1465542+   1976227+   858331+    17712+  18404    0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
5416   DiskUnmountWatch 0.0  00:00.18 2     2   35+    468K+  0B     440K+  5416  1     sleeping  0[0]        0.00000 0.00000    2023764136 3420+    139+    1120+      5362+     16301+     5736+      6152+      0       53       0.0   0      0      vaibhav.d          N/A    N/A   N/A   N/A   N/A   N/A  
